"","N1_1","N2_1","N3_1","N4_1","N5_1","N6_1","N1_2","N2_2","N3_2","N4_2","N5_2","N6_2"
"O75558",0,0,0,0,0,0,0,0,0,0,0,0
"O75578",0,0,0,0,0,0,0,0,0,0,0,0
"O75581",0,0,0,0,0,0,0,0,0,0,0,0
"O75586",0,1,1,1,1,1,1,0,1,0,1,1
"O75593",1,1,0,1,1,1,0,0,1,1,1,1
"O75604",0,0,0,0,0,0,0,0,0,0,0,0
"O75643",0,0,0,0,0,0,0,0,0,0,0,0
"O75665",0,0,0,0,0,0,0,0,0,0,0,0
"O75694",0,0,0,0,0,0,0,0,0,0,0,0
"O75712",0,0,0,0,0,0,0,0,0,0,0,0
"O75717",0,0,0,0,0,0,0,0,0,0,0,0
"O75771",0,0,0,0,0,0,0,0,0,0,0,0
"O75817",0,0,0,0,0,0,0,0,0,0,0,0
"O75818",0,0,0,0,0,0,0,0,0,0,0,0
"O75821",0,0,0,0,0,0,0,0,0,0,0,0
"O75822",0,0,0,0,0,0,0,0,0,0,0,0
"O75832",0,0,0,0,0,0,0,0,0,0,0,0
"O75843",0,0,0,0,0,0,0,0,0,0,0,0
"O75865",0,0,0,0,0,0,0,0,0,0,0,0
"O75874",0,0,0,0,0,0,0,0,0,0,0,0
"O75879",0,0,0,0,0,0,0,0,0,0,0,0
"O75886",0,0,0,0,0,0,0,0,0,0,0,0
"O75899",0,0,0,0,0,0,0,0,0,0,0,0
"O75909",0,0,0,0,0,0,0,0,0,0,0,0
"O75923",0,0,1,0,0,0,0,0,1,1,1,1
"O75925",0,0,0,0,0,0,0,0,0,0,0,0
"O75934",0,0,0,0,0,0,0,0,0,0,0,0
"O75937",0,0,0,0,0,0,0,0,0,0,0,0
"O75940",0,0,0,0,0,0,0,0,0,0,0,0
"O75943",0,0,0,0,0,0,0,0,0,0,0,0
"O75947",0,0,0,0,0,0,0,0,0,0,0,0
"O75955",0,0,0,0,0,0,0,0,0,0,0,0
"O75964",0,0,0,0,0,0,0,0,0,0,0,0
"O75970",0,0,0,0,0,0,0,0,0,0,0,0
"O75971",1,1,1,1,1,1,1,1,1,1,1,1
"O76003",0,0,0,0,0,0,0,0,0,0,0,0
"O76021",0,0,0,0,0,0,0,0,0,0,0,0
"O76031",0,0,0,0,0,0,0,0,0,0,0,0
"O76064",0,0,0,0,0,0,0,0,0,0,0,0
"O76071",0,0,0,0,0,0,0,0,0,0,0,0
"O76081",0,0,0,0,0,0,0,0,0,0,0,0
"O94763",0,0,0,0,0,0,0,0,0,0,0,0
"O94776",0,0,0,0,0,0,0,0,0,0,0,0
"O94777",0,0,0,0,0,0,0,0,0,0,0,0
"O94782",0,0,0,0,0,0,0,0,0,0,0,0
"O94805",0,0,0,0,0,0,0,0,0,0,0,0
"O94826",0,0,0,0,0,0,0,0,0,0,0,0
"O94829",0,0,0,0,0,0,0,0,0,0,0,0
"O94850",0,0,0,0,0,0,0,0,0,0,0,0
"O94864",0,0,0,0,0,0,0,0,0,0,0,0
"O94875",0,0,0,0,0,0,0,0,0,0,0,0
"O94887",0,0,0,0,0,0,0,0,0,0,0,0
"O94905",0,0,0,0,0,0,0,0,0,0,0,0
"O94906",0,0,0,0,0,0,0,0,0,0,0,0
"O94907",0,0,0,0,0,0,0,0,0,0,0,0
"O94913",0,0,0,0,0,0,0,0,0,0,0,0
"O94916",0,0,0,0,0,0,0,0,0,0,0,0
"O94927",0,0,0,0,0,0,0,0,0,0,0,0
"O94992",0,0,0,0,0,0,0,0,0,0,0,0
"O95059",0,0,0,0,0,0,0,0,0,0,0,0
"O95067",0,0,0,0,0,0,0,0,0,0,0,0
"O95071",0,0,0,0,0,0,0,0,0,0,0,0
"O95136",0,0,0,0,0,0,0,0,0,0,0,0
"O95139",0,0,0,0,0,0,0,0,0,0,0,0
"O95149",0,0,0,0,0,0,0,0,0,0,0,0
"O95163",0,0,0,0,0,0,0,0,0,0,0,0
"O95167",0,0,0,0,0,0,0,0,0,0,0,0
"O95168",0,0,0,0,0,0,0,0,0,0,0,0
"O95169",0,0,0,0,0,0,0,0,0,0,0,0
"O95178",0,0,0,0,0,0,0,0,0,0,0,0
"O95182",0,0,0,0,0,0,0,0,0,0,0,0
"O95197",0,0,0,0,0,0,0,0,0,0,0,0
"O95218",0,0,0,0,0,0,0,0,0,0,0,0
"O95219",0,0,0,0,0,0,0,0,0,0,0,0
"O95229",0,0,0,0,0,0,0,0,0,0,0,0
"O95232",0,0,0,0,0,0,0,0,0,0,0,0
"O95239",0,0,0,0,0,0,0,0,0,0,0,0
"O95251",0,0,0,0,0,0,0,0,0,0,0,0
"O95257",0,0,0,0,0,0,0,0,0,0,0,0
"O95267",0,0,0,0,0,0,0,0,0,0,0,0
"O95271",0,0,0,0,0,0,0,0,0,0,0,0
"O95292",0,0,0,0,0,0,0,0,0,0,0,0
"O95295",0,0,0,0,0,0,0,0,0,0,0,0
"O95298",0,0,0,0,0,0,0,0,0,0,0,0
"O95299",0,0,0,0,0,0,0,0,0,0,0,0
"O95347",0,0,0,0,0,0,0,0,0,0,0,0
"O95359",0,0,0,0,0,0,0,0,0,0,0,0
"O95391",0,0,0,0,0,0,0,0,0,0,0,0
"O95400",0,0,0,0,0,0,0,0,0,0,0,0
"O95402",0,0,0,0,0,0,0,0,0,0,0,0
"O95405",0,0,0,0,0,0,0,0,0,0,0,0
"O95425",0,0,0,0,0,0,0,0,0,0,0,0
"O95452",0,0,0,0,0,0,0,0,0,0,0,0
"O95453",0,0,0,0,0,0,0,0,0,0,0,0
"O95456",0,0,0,0,0,0,0,0,0,0,0,0
"O95487",0,0,0,0,0,0,0,0,0,0,0,0
"O95602",0,0,0,0,0,0,0,0,0,0,0,0
"O95613",0,0,0,0,0,0,0,0,0,0,0,0
"O95619",0,0,0,0,0,0,0,0,0,0,0,0
"O95630",0,0,0,0,0,0,0,0,0,0,0,0
"O95639",0,0,0,0,0,0,0,0,0,0,0,0
"O95696",0,0,0,0,0,0,0,0,0,0,0,0
"O95707",0,0,0,0,0,0,0,0,0,0,0,0
"O95714",0,0,0,0,0,0,0,0,0,0,0,0
"O95721",0,0,0,0,0,0,0,0,0,0,0,0
"O95747",0,0,0,0,0,0,0,0,0,0,0,0
"O95750",0,0,0,0,0,0,0,0,0,0,0,0
"O95777",0,0,0,0,0,0,0,0,0,0,0,0
